,country,country_code,area,OID
59,United Kingdom,GBR,2684837.944,253
60,United Kingdom,GBR,206251385.3,254
61,Guinea-Bissau,GNB,13775388.04,255
62,Guinea-Bissau,GNB,2044105533,256
63,Guinea-Bissau,GNB,33430742733,257
64,Guinea,GIN,3589000.117,258
65,Guinea,GIN,1084942604,259
66,Guinea,GIN,2.54E+11,260
67,Hungary,HUN,2.01E+11,273
68,Iceland,ISL,205064016.7,274
69,Iceland,ISL,579332781.9,275
70,Iceland,ISL,5.70E+11,276
71,Ireland,IRL,101325739.3,292
72,Ireland,IRL,974488902.8,293
73,Ireland,IRL,1.94E+11,294
74,United Kingdom,IMN,57433.7902,295
75,United Kingdom,IMN,7999015.93,296
76,United Kingdom,IMN,1686633253,297
77,Italy,ITA,46138291.77,300
78,Italy,ITA,2113622696,301
79,Italy,ITA,5.59E+11,302
80,United Kingdom,JEY,802581.1427,310
81,United Kingdom,JEY,291686625.6,311
82,Liberia,LBR,2067470.196,333
83,Liberia,LBR,1461419.49,334
84,Liberia,LBR,97716502287,335
85,Libya,LBY,993199.9511,336
86,Libya,LBY,2.05E+12,338
87,Liechtenstein,LIE,347405277.2,339
88,Mali,MLI,1.39E+12,354
89,Malta,MLT,496672977.4,355
90,Mauritania,MRT,5276718.586,360
91,Mauritania,MRT,304556418.5,361
92,Mauritania,MRT,1.19E+12,362
93,Monaco,MCO,5379434.599,375
94,Morocco,MAR,1001916.612,380
95,Morocco,MAR,1553283.347,381
96,Morocco,MAR,9.04E+11,382
97,Netherlands,NLD,11570445.5,395
98,Netherlands,NLD,3875405807,396
99,Netherlands,NLD,89817694127,397
100,Niger,NER,1.31E+12,409
101,Nigeria,NGA,18069940.17,410
102,Nigeria,NGA,6024494013,411
103,Nigeria,NGA,823586979.1,412
104,Nigeria,NGA,9.35E+11,413
105,Norway,NOR,3072836289,422
106,Norway,NOR,77949098902,423
107,Norway,NOR,1.62E+11,424
108,Norway,NOR,3.19E+12,425
109,Portugal,PRT,7133163.263,460
110,Portugal,PRT,102988050.7,461
111,Portugal,PRT,1.50E+11,462
112,France,SPM,375322.3826,497
113,France,SPM,485454412.3,498
114,San Marino,SMR,112785408.1,505
115,Senegal,SEN,13485313.79,512
116,Senegal,SEN,1247306410,513
117,Senegal,SEN,2.08E+11,514
118,Sierra Leone,SLE,14083426.83,519
119,Sierra Leone,SLE,175218034,520
120,Sierra Leone,SLE,74265679308,521
121,Slovenia,SVN,42155535579,528
122,Spain,ESP,970631.0136,543
123,Spain,ESP,51947481.38,544
124,Spain,ESP,20041095.31,545
125,Spain,ESP,248280179.5,546
126,Spain,ESP,8.61E+11,547
127,Switzerland,CHE,88046988411,562
128,Togo,TGO,58387453199,573
129,Tunisia,TUN,7472968.08,581
130,Tunisia,TUN,1015112185,582
131,Tunisia,TUN,2.26E+11,583
